"Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Local Body Type Code","Local Body Type Name","_Local Body Code","_Local Body Version","_Local Body Name (In English)","_Local Body Name (In Local)","_Local Body Type Code","_Local Body Type Name"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259313","1","Arrong","Arrong","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259323","1","Big Lapati (Jayanti)","Big Lapati (Jayanti)","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259321","1","Chuckchucha","Chuckchucha","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259316","1","Iaf Camp","IAF Camp","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259315","1","Kakana","Kakana","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259314","1","Kimois","Kimois","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259325","1","Kinmai","Kinmai","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259320","1","Kinyuka","Kinyuka","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259317","1","Malacca","Malacca","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259310","1","Mus","Mus","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259318","1","Perka","Perka","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259312","1","Sawai","Sawai","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259324","1","Small Lapati","Small Lapati","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259319","1","Tamaloo","Tamaloo","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259322","1","Tapoiming","Tapoiming","11","Village Council"
"259309","1","Car Nicobar","Car Nicobar","19","Tribal Council","259311","1","Teetop","Teetop","11","Village Council"
"259438","1","Chowra","Chowra","19","Tribal Council","259441","1","Alhiat","Alhiat","11","Village Council"
"259438","1","Chowra","Chowra","19","Tribal Council","259440","1","Chongkamong","Chongkamong","11","Village Council"
"259438","1","Chowra","Chowra","19","Tribal Council","259442","1","Kuitasuk","Kuitasuk","11","Village Council"
"259438","1","Chowra","Chowra","19","Tribal Council","259443","1","Raihion","Raihion","11","Village Council"
"259438","1","Chowra","Chowra","19","Tribal Council","259439","1","Tahaila","Tahaila","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259423","1","Alointung","Alointung","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259424","1","Alpintu/Alpintung","Alpintu/Alpintung","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259405","1","Alukian","Alhukheck","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259401","1","Banderkari (Pulu)","Banderkari (Pulu)","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259412","1","Berainak/Badnak","BeraInak/Badnak","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259397","1","Bumpal","Bumpal","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259400","1","Chanel (Chanol)","Chanel (Chanol)","11","Village Council"
"259393","1","Kamorta","KAMORTA","19","Tribal Council","259403","1","Changua","Changup","11","Village Council"
