State Code,State Name (In English),District Code,District Name (In English),District Name (Local),District Version,District Census 2001 Code,District Census 2011 Code,Sub District Code,Sub District Name,Sub District Name (Local),Subdistrict Version,Sub District Census 2001 Code,Sub District Census 2011 Code,Development Block Code,Development Block Name (In English),Development Block Name (Local),Development Block Version,Village Code,Village Name (In English),Village Name (Local),Village Category,Village Status,Village Census 2001 Code,Village Census 2011 Code
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645015,Arong,,Rural,Inhabitant,36000.0,645015
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645025,Big Lapati,,Rural,Inhabitant,37000.0,645025
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645023,Chuckchucha,,Rural,Inhabitant,36800.0,645023
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645018,Iaf Camp,,Rural,Inhabitant,36300.0,645018
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6500,Nancowrie,,1,645017,Kakana,,Rural,Inhabitant,36200.0,645017
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645016,Kimois,,Rural,Inhabitant,36100.0,645016
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645027,Kinmai,,Rural,Inhabitant,37200.0,645027
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645022,Kinyuka,,Rural,Inhabitant,36700.0,645022
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645019,Malacca,,Rural,Inhabitant,36400.0,645019
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645012,Mus,,Rural,Inhabitant,35700.0,645012
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645020,Perka,,Rural,Inhabitant,36500.0,645020
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645014,Sawai,,Rural,Inhabitant,35900.0,645014
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645026,Small Lapati,,Rural,Inhabitant,37100.0,645026
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645021,Tamaloo,,Rural,Inhabitant,36600.0,645021
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645024,Tapoiming,,Rural,Inhabitant,36900.0,645024
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5916,Car Nicobar,,1,0,5916,6499,Car Nicobar,,1,645013,Teetop,,Rural,Inhabitant,35800.0,645013
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645196,7 Km Farm,,Rural,Inhabitant,53600.0,645196
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645166,Afra Bay,,Rural,Inhabitant,,645166
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645144,Akupa,,Rural,Un-Inhabitant,48500.0,645144
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645168,Alexandera River,,Rural,Un-Inhabitant,50800.0,645168
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645142,Anul/Anula,,Rural,Un-Inhabitant,48300.0,645142
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645169,Ayouk,,Rural,Un-Inhabitant,50900.0,645169
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645162,Bahua,,Rural,Un-Inhabitant,50300.0,645162
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645148,Bewai/Kuwak,,Rural,Inhabitant,48900.0,645148
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645200,Campbell Bay,,Rural,Inhabitant,54000.0,645200
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645204,Chaw Nallaha,,Rural,Un-Inhabitant,54400.0,645204
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645189,Chingen (Incl.Fc At Magar Nalla,,Rural,Un-Inhabitant,52900.0,645189
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645167,Dairkurat,,Rural,Un-Inhabitant,50700.0,645167
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645184,Dakhiyon (Fc),,Rural,Un-Inhabitant,52400.0,645184
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645179,Danlet,,Rural,Un-Inhabitant,51900.0,645179
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645174,Dogmar River,,Rural,Un-Inhabitant,51400.0,645174
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645159,Elahi/Ilhoya,,Rural,Un-Inhabitant,50000.0,645159
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645190,Galathia River (Fc),,Rural,Un-Inhabitant,53000.0,645190
35,Andaman And Nicobar Islands,603,Nicobars,NICOBARS,1,2.0,638,5918,Great Nicobar,,1,0,5918,6498,Campbell Bay,,5,645192,Gandhi Nagar,,Rural,Inhabitant,53200.0,645192
