"S.No.","Localbody Type Code","Localbody Type Name","Localbody Code","Localbody Version","Localbody Name","Localbody Name","Parent Localbody Code"
"1.0","1","District Panchayat","576","1","North And Middle Andaman","NORTH AND MIDDLE ANDAMAN",""
"2.0","1","District Panchayat","552","1","South Andamans","SOUTH ANDAMANS",""
"3.0","2","Intermediate Panchayat","6799","2","Campbell Bay","CAMPBELL BAY","552"
"4.0","2","Intermediate Panchayat","6793","2","Diglipur","DIGLIPUR","576"
"5.0","2","Intermediate Panchayat","6794","2","Ferrargunj","FERRARGUNJ","552"
"6.0","2","Intermediate Panchayat","6795","1","Little Andaman","LITTLE ANDAMAN","552"
"7.0","2","Intermediate Panchayat","6796","1","Mayabunder","MAYABUNDER","576"
"8.0","2","Intermediate Panchayat","6797","2","Prothrapur","PROTHRAPUR","552"
"9.0","2","Intermediate Panchayat","6798","1","Rangat","RANGAT","576"
"10.0","3","Village Panchayat","234515","7","Bakultala","नाशीराबाद","6798"
"11.0","3","Village Panchayat","234478","7","Bambooflat-I","BAMBOOFLAT-I","6794"
"12.0","3","Village Panchayat","272941","6","Bambooflat-Ii","BAMBOOFLAT-II","6794"
"13.0","3","Village Panchayat","234497","3","Basantipur","BASANTIPUR","6796"
"14.0","3","Village Panchayat","234505","5","Beodnabad","BEODNABAD","6797"
"15.0","3","Village Panchayat","234479","3","Brindraban","BRINDRABAN","6794"
"16.0","3","Village Panchayat","272914","3","Calicut","Calicut","6797"
"17.0","3","Village Panchayat","234529","7","Campbell Bay","CAMPBELL BAY","6799"
"18.0","3","Village Panchayat","234498","6","Chainpur","CHAINPUR","6796"
"19.0","3","Village Panchayat","234480","4","Chouldari","CHOULDARI","6794"
"20.0","3","Village Panchayat","273036","4","Collinpur","COLLINPUR","6794"
"21.0","3","Village Panchayat","234516","5","Dashratpur","DASHRATPUR","6798"
"22.0","3","Village Panchayat","234465","5","Diglipur","DIGLIPUR","6793"
"23.0","3","Village Panchayat","234481","8","Ferrargunj","FERRARGUNJ","6794"
"24.0","3","Village Panchayat","245696","4","Gandhi Nagar","GANDHI NAGAR","6793"
"25.0","3","Village Panchayat","234510","5","Govindnagar","GOVINDNAGAR","6797"
"26.0","3","Village Panchayat","234530","6","Govindnagar","GOVINDNAGAR","6799"
"27.0","3","Village Panchayat","234482","5","Guptapara","GUPTAPARA","6794"
"28.0","3","Village Panchayat","234499","3","Harinagar","HARINAGAR","6796"
"29.0","3","Village Panchayat","234483","4","Hopetown","HOPETOWN","6794"
"30.0","3","Village Panchayat","234484","6","Humfreygunj","HUMFREYGUNJ","6794"
"31.0","3","Village Panchayat","234493","3","Hutbay","HUTBAY","6795"
"32.0","3","Village Panchayat","234517","3","Kadamtala","KADAMTALA","6798"
"33.0","3","Village Panchayat","234466","4","Kalighat","KALIGHAT","6793"
"34.0","3","Village Panchayat","273035","4","Kanyapuram","KANYAPURAM","6794"
"35.0","3","Village Panchayat","234518","3","Kausalyanagar","KAUSALYANAGAR","6798"
"36.0","3","Village Panchayat","234467","3","Keralapuram","KERALAPURAM","6793"
"37.0","3","Village Panchayat","234468","4","Kishorinagar","KISHORINAGAR","6793"
"38.0","3","Village Panchayat","234531","5","Laxminagar","LAXMINAGAR","6799"
"39.0","3","Village Panchayat","234469","3","Laxmipur","LAXMIPUR","6793"
"40.0","3","Village Panchayat","234519","3","Long Island","LONG ISLAND","6798"
"41.0","3","Village Panchayat","234470","3","Madhupur","MADHUPUR","6793"
"42.0","3","Village Panchayat","234485","3","Mannarghat","MANNARGHAT","6794"
"43.0","3","Village Panchayat","234500","5","Mayabunder","MAYABUNDER","6796"
"44.0","3","Village Panchayat","234486","3","Mithakhari","MITHAKHARI","6794"
"45.0","3","Village Panchayat","234471","4","Nabagram","NABAGRAM","6793"
"46.0","3","Village Panchayat","234487","3","Namunaghar","NAMUNAGHAR","6794"
"47.0","3","Village Panchayat","234511","3","Neil Island","NEIL ISLAND","6797"
"48.0","3","Village Panchayat","234494","3","Netajinagar","NETAJINAGAR","6795"
"49.0","3","Village Panchayat","234520","5","Nilambur","NILAMBUR","6798"
"50.0","3","Village Panchayat","234521","3","Nimbutala","NIMBUTALA","6798"
"51.0","3","Village Panchayat","234501","5","Pahalgaon","PAHALGAON","6796"
"52.0","3","Village Panchayat","234522","3","Parnasala","PARNASALA","6798"
"53.0","3","Village Panchayat","245695","4","Paschim Sagar","PASCHIM SAGAR","6793"
"54.0","3","Village Panchayat","234502","3","Pokadera","POKADERA","6796"
"55.0","3","Village Panchayat","272913","3","Rabindranagar","Rabindranagar","6795"
"56.0","3","Village Panchayat","234473","5","Radhanagar","RADHANAGAR","6793"
"57.0","3","Village Panchayat","234495","3","Ramkrishnapur","RAMKRISHNAPUR","6795"
"58.0","3","Village Panchayat","234474","3","Ramnagar","RAMNAGAR","6793"
"59.0","3","Village Panchayat","234503","6","Rampur","RAMPUR","6796"
"60.0","3","Village Panchayat","234523","10","Rangat","RANGAT","6798"
"61.0","3","Village Panchayat","234472","3","R.K. Gram","R.K. GRAM","6793"
"62.0","3","Village Panchayat","234524","3","Sabri","SABRI","6798"
"63.0","3","Village Panchayat","234475","3","Shibpur","SHIBPUR","6793"
"64.0","3","Village Panchayat","234525","4","Shivapuram","SHIVAPURAM","6798"
"65.0","3","Village Panchayat","234488","5","Shoal Bay","SHOAL BAY","6794"
"66.0","3","Village Panchayat","234489","4","Shorepoint","SHOREPOINT","6794"
"67.0","3","Village Panchayat","234514","5","Shyamnagar","SHYAMNAGAR","6797"
"68.0","3","Village Panchayat","234513","3","Sippighat","SIPPIGHAT","6797"
"69.0","3","Village Panchayat","234476","3","Sitanagar","SITANAGAR","6793"
"70.0","3","Village Panchayat","234490","5","Stewartgunj","STEWARTGUNJ","6794"
"71.0","3","Village Panchayat","234477","3","Subashgram","SUBASHGRAM","6793"
"72.0","3","Village Panchayat","234526","4","Sunderghar","SUNDERGHAR","6798"
"73.0","3","Village Panchayat","234504","5","Swadeshnagar","SWADESHNAGAR","6796"
"74.0","3","Village Panchayat","234491","5","Tushnabad","TUSHNABAD","6794"
"75.0","3","Village Panchayat","234527","5","Urmilapur","URMILAPUR","6798"
"76.0","3","Village Panchayat","234528","3","Uttara","UTTARA","6798"
"77.0","3","Village Panchayat","234496","4","Vivekanandapur","VIVEKANANDAPUR","6795"
"78.0","3","Village Panchayat","273037","6","Wandoor","WANDOOR","6794"
"79.0","3","Village Panchayat","234492","7","Wimberlygunj","WIMBERLYGUNJ","6794"
