"S.No.","Local Body Code","Local Body Name","Local Body Type","District Level Parent Name","Intermediate Level Parent Name","Ward Code","Ward Number","Ward Name (In English)","Ward Name (In Local)"
"1","552","South Andamans","District Panchayat","","","111395","1","Ward No. 1","Ward No. 1"
"2","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030845","1","Radhanagar","Radhanagar"
"3","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030846","2","Laxmipur","Laxmipur"
"4","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030847","3","Madhupur","Madhupur"
"5","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030848","4","Sitanagar","Sitanagar"
"6","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030849","5","Diglipur","Diglipur"
"7","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030850","6","Subashgram","Subashgram"
"8","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030851","7","Ramakrishnagram","Ramakrishnagram"
"9","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030852","8","Kerlapuram","Kerlapuram"
"10","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030853","9","Shibpur","Shibpur"
"11","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030854","10","Gandhinagar","Gandhinagar"
"12","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030855","11","Ramnagar","Ramnagar"
"13","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030856","12","Nabagram","Nabagram"
"14","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030857","13","Kalighat","Kalighat"
"15","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030858","14","Kishorinagar","Kishorinagar"
"16","6793","Diglipur","Intermediate Panchayat","North And Middle Andaman","","3030859","15","Paschimsagar","Paschimsagar"
"17","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030860","1","Mayabunder","Mayabunder"
"18","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030861","2","Pokadera","Pokadera"
"19","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030862","3","Rampur","Rampur"
"20","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030863","4","Basantipur","Basantipur"
"21","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030864","5","Chainpur","Chainpur"
"22","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030865","6","Harinagar","Harinagar"
"23","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030866","7","Pahalagoan","Pahalagoan"
"24","6796","Mayabunder","Intermediate Panchayat","North And Middle Andaman","","3030867","8","Swadeshnagar","Swadeshnagar"
"25","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030868","1","Shivapuram","शिवपुरम"
"26","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030869","2","Nimbutala","निंबुतला"
"27","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030870","3","Dasarthpur","दशरथपुर"
"28","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030871","4","Rangat","रंगत"
"29","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030872","5","Sabari","साबारी"
"30","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030873","6","Long Island","लाँग आयलैंड"
"31","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030874","7","Parnashala","पर्णशाला"
"32","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030875","8","Bakultala","बकुलताल"
"33","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030876","9","Kaushalyanagar","कौशल्यानगर"
"34","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030877","10","Urmipalur","उर्मिपालुर"
"35","6798","Rangat","Intermediate Panchayat","North And Middle Andaman","","3030878","11","Kadamtala","कदमताला"
