"S.No.","Local Body Code","Local Body Version","Local Body Name (In English)","Local Body Name (In Local)","Localbody Type Code","Local Body Type Name","Parent Localbody Code"
"1.0","259500","1","1ayouk","1Ayouk","11","Village Council","259444"
"2.0","259493","1","7 Km. Farm","7 Km. Farm","11","Village Council","259444"
"3.0","259504","1","Afra Bay","Afra Bay","11","Village Council","259444"
"4.0","259448","1","Akupa","Akupa","11","Village Council","259444"
"5.0","259470","1","Alexandera (River)","Alexandera (River)","11","Village Council","259444"
"6.0","259441","1","Alhiat","Alhiat","11","Village Council","259438"
"7.0","259334","1","Alhitoth","Alhiloth","11","Village Council","259326"
"8.0","259363","1","Alipa","Alips","11","Village Council","259362"
"9.0","259333","1","Alkaipoh","Alkripoh","11","Village Council","259326"
"10.0","259372","1","Alnilhitniltouch (Balubasti)","AlNilHitNilTouch (BaluBasti)","11","Village Council","259362"
"11.0","259423","1","Alointung","Alointung","11","Village Council","259393"
"12.0","259428","1","Aloora","Aloora","11","Village Council","259426"
"13.0","259427","1","Aloorang","Aloorang","11","Village Council","259426"
"14.0","259424","1","Alpintu/Alpintung","Alpintu/Alpintung","11","Village Council","259393"
"15.0","259379","1","Alreak","Alreak","11","Village Council","259362"
"16.0","259354","1","Alsama","Alsama","11","Village Council","259326"
"17.0","259352","1","Altaful","Altaful","11","Village Council","259326"
"18.0","259371","1","Altheak","Altheak","11","Village Council","259362"
"19.0","259405","1","Alukian","Alhukheck","11","Village Council","259393"
"20.0","259446","1","Anul","Anula","11","Village Council","259444"
"21.0","259313","1","Arrong","Arrong","11","Village Council","259309"
"22.0","259345","1","Atkuna","Alkun","11","Village Council","259326"
"23.0","259461","1","Bahua","Bahua","11","Village Council","259444"
"24.0","259401","1","Banderkari (Pulu)","Banderkari (Pulu)","11","Village Council","259393"
"25.0","259437","1","Bengali","Bengali","11","Village Council","259426"
"26.0","259412","1","Berainak/Badnak","BeraInak/Badnak","11","Village Council","259393"
"27.0","259462","1","Bewai (Kuwak)","Bewai (Kuwak)","11","Village Council","259444"
"28.0","259323","1","Big Lapati (Jayanti)","Big Lapati (Jayanti)","11","Village Council","259309"
"29.0","259381","1","Bompoka Island","Bompoka Island","11","Village Council","259362"
"30.0","259397","1","Bumpal","Bumpal","11","Village Council","259393"
"31.0","259374","1","Champin","Champin","11","Village Council","259362"
"32.0","259400","1","Chanel (Chanol)","Chanel (Chanol)","11","Village Council","259393"
"33.0","259403","1","Changua","Changup","11","Village Council","259393"
"34.0","259497","1","Chaw Nallah","Chaw Nallah","11","Village Council","259444"
"35.0","259360","1","Chengtamilan","Chengtamilan","11","Village Council","259326"
"36.0","259490","1","Chiengen","Chiengen","11","Village Council","259444"
"37.0","259331","1","Chonghipoh","Chonghipoh","11","Village Council","259326"
"38.0","259440","1","Chongkamong","Chongkamong","11","Village Council","259438"
"39.0","259359","1","Chonsiyala","Chonsiyala","11","Village Council","259326"
"40.0","259411","1","Chotainak","ChotaInak","11","Village Council","259393"
"41.0","259321","1","Chuckchucha","Chuckchucha","11","Village Council","259309"
"42.0","259432","1","Chukmachi","ChukMachi","11","Village Council","259426"
"43.0","259469","1","Dairkurat","Dairkurat","11","Village Council","259444"
"44.0","259485","1","Dakhiyon (Near Kokeon) (Forest Camp)","Dakhiyon (Near Kokeon) (Forest Camp)","11","Village Council","259444"
"45.0","259480","1","Danlet","Danlet","11","Village Council","259444"
"46.0","259398","1","Daring","Daring","11","Village Council","259393"
"47.0","259475","1","Dogmar River","Dogmar River","11","Village Council","259444"
"48.0","259458","1","Elahi/Ilhoya","Elahi/Ilhoya","11","Village Council","259444"
"49.0","259429","1","Enam","Enam","11","Village Council","259426"
"50.0","259382","1","E-Wall","E-Wall","11","Village Council","259362"
"51.0","259491","1","Galathia River (Forest Camp)","Galathia River (Forest Camp)","11","Village Council","259444"
"52.0","259505","1","Goltikry","GolTikry","11","Village Council","259444"
"53.0","259347","1","Hakonhala","Hakonhala","11","Village Council","259326"
"54.0","259351","1","Halnatai(Hoinatai)","Halnatai(Hoinatai)","11","Village Council","259326"
"55.0","259365","1","Hindra","Hindra","11","Village Council","259362"
"56.0","259375","1","Hinnunga","Hinnunga","11","Village Council","259362"
"57.0","259483","1","Hin-Pou-Chi","Hin-Pou-Chi","11","Village Council","259444"
"58.0","259380","1","Hintona","Hintona","11","Village Council","259362"
"59.0","259329","1","Hitlat","Hitlat","11","Village Council","259326"
