"S.No.","Local Body Code","Local Body Name","Ward Code","Ward Number","Ward Name","District Code","District Name","Subdistrict Code","Subdistrict Name"
"1","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"2","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"3","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","602","South Andamans","5923","Port Blair"
"4","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"5","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","602","South Andamans","",""
"6","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"7","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"8","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"9","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"10","253098","Port Blair","1295564","19","Port Blair (M Ci)- Ward No. 19","","","",""
"11","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"12","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"13","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"14","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","602","South Andamans","5923","Port Blair"
"15","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"16","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","602","South Andamans","",""
"17","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"18","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"19","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"20","253098","Port Blair","1295565","20","Port Blair (M Ci)- Ward No. 20","","","",""
"21","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"22","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"23","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"24","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"25","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"26","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","602","South Andamans","5923","Port Blair"
"27","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","602","South Andamans","",""
"28","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"29","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"30","253098","Port Blair","1295566","21","Port Blair (M Ci)- Ward No. 21","","","",""
"31","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","602","South Andamans","5923","Port Blair"
"32","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"33","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"34","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"35","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"36","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"37","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"38","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"39","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","602","South Andamans","",""
"40","253098","Port Blair","1295567","22","Port Blair (M Ci)- Ward No. 22","","","",""
"41","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"42","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"43","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","602","South Andamans","5923","Port Blair"
"44","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","602","South Andamans","",""
"45","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"46","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"47","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"48","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"49","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"50","253098","Port Blair","1295568","23","Port Blair (M Ci)- Ward No. 23","","","",""
"51","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
"52","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
"53","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
"54","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
"55","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
"56","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","602","South Andamans","",""
"57","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","602","South Andamans","5923","Port Blair"
"58","253098","Port Blair","1295569","24","Port Blair (M Ci)- Ward No. 24","","","",""
