"S.No.","District Code","District Name","District Census 2011 Code","District Census 2001 Code","Subdistrict Code","Subdistrict Name","Subdistrict Census 2011 Code","Subdistrict Census 2001 Code","Village Code","Village Name","Village Census 2011 Code","Village Census 2001 Code","Local Body Code","Local Body Name"
"1","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645015","Arong","645015","00036000","",""
"2","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645025","Big Lapati","645025","00037000","",""
"3","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645023","Chuckchucha","645023","00036800","",""
"4","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645018","Iaf Camp","645018","00036300","",""
"5","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645017","Kakana","645017","00036200","",""
"6","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645016","Kimois","645016","00036100","",""
"7","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645027","Kinmai","645027","00037200","",""
"8","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645022","Kinyuka","645022","00036700","",""
"9","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645019","Malacca","645019","00036400","",""
"10","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645012","Mus","645012","00035700","",""
"11","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645020","Perka","645020","00036500","",""
"12","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645014","Sawai","645014","00035900","",""
"13","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645026","Small Lapati","645026","00037100","",""
"14","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645021","Tamaloo","645021","00036600","",""
"15","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645024","Tapoiming","645024","00036900","",""
"16","603","Nicobars","638","02","5916","Car Nicobar","05916","0","645013","Teetop","645013","00035800","",""
"17","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645196","7 Km Farm","645196","00053600","",""
"18","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645166","Afra Bay","645166","","",""
"19","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645144","Akupa","645144","00048500","",""
"20","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645168","Alexandera River","645168","00050800","",""
"21","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645142","Anul/Anula","645142","00048300","",""
"22","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645169","Ayouk","645169","00050900","",""
"23","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645162","Bahua","645162","00050300","",""
"24","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645148","Bewai/Kuwak","645148","00048900","",""
"25","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645200","Campbell Bay","645200","00054000","234529","Campbell Bay"
"26","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645204","Chaw Nallaha","645204","00054400","",""
"27","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645189","Chingen (Incl.Fc At Magar Nalla","645189","00052900","",""
"28","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645167","Dairkurat","645167","00050700","",""
"29","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645184","Dakhiyon (Fc)","645184","00052400","",""
"30","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645179","Danlet","645179","00051900","",""
"31","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645174","Dogmar River","645174","00051400","",""
"32","603","Nicobars","638","02","5918","Great Nicobar","05918","0","645159","Elahi/Ilhoya","645159","00050000","",""
