"S.No.","District Code","District Name","Sub-District Code","Sub-District Name","Village Code","Village Version","Village Name","Village Name","Village Category","Village Status","Census 2001 Code","Census 2011 Code"
"1","603","Nicobars","5916","Car Nicobar","645015","1","Arong","","Rural","Inhabitant","00036000","645015"
"2","603","Nicobars","5916","Car Nicobar","645025","1","Big Lapati","","Rural","Inhabitant","00037000","645025"
"3","603","Nicobars","5916","Car Nicobar","645023","1","Chuckchucha","","Rural","Inhabitant","00036800","645023"
"4","603","Nicobars","5916","Car Nicobar","645018","1","Iaf Camp","","Rural","Inhabitant","00036300","645018"
"5","603","Nicobars","5916","Car Nicobar","645017","1","Kakana","","Rural","Inhabitant","00036200","645017"
"6","603","Nicobars","5916","Car Nicobar","645016","1","Kimois","","Rural","Inhabitant","00036100","645016"
"7","603","Nicobars","5916","Car Nicobar","645027","1","Kinmai","","Rural","Inhabitant","00037200","645027"
"8","603","Nicobars","5916","Car Nicobar","645022","1","Kinyuka","","Rural","Inhabitant","00036700","645022"
"9","603","Nicobars","5916","Car Nicobar","645019","1","Malacca","","Rural","Inhabitant","00036400","645019"
"10","603","Nicobars","5916","Car Nicobar","645012","1","Mus","","Rural","Inhabitant","00035700","645012"
"11","603","Nicobars","5916","Car Nicobar","645020","1","Perka","","Rural","Inhabitant","00036500","645020"
"12","603","Nicobars","5916","Car Nicobar","645014","1","Sawai","","Rural","Inhabitant","00035900","645014"
"13","603","Nicobars","5916","Car Nicobar","645026","1","Small Lapati","","Rural","Inhabitant","00037100","645026"
"14","603","Nicobars","5916","Car Nicobar","645021","1","Tamaloo","","Rural","Inhabitant","00036600","645021"
"15","603","Nicobars","5916","Car Nicobar","645024","1","Tapoiming","","Rural","Inhabitant","00036900","645024"
"16","603","Nicobars","5916","Car Nicobar","645013","1","Teetop","","Rural","Inhabitant","00035800","645013"
"17","603","Nicobars","5918","Great Nicobar","645196","1","7 Km Farm","","Rural","Inhabitant","00053600","645196"
"18","603","Nicobars","5918","Great Nicobar","645166","1","Afra Bay","","Rural","Inhabitant","","645166"
"19","603","Nicobars","5918","Great Nicobar","645144","1","Akupa","","Rural","Un-Inhabitant","00048500","645144"
"20","603","Nicobars","5918","Great Nicobar","645168","1","Alexandera River","","Rural","Un-Inhabitant","00050800","645168"
"21","603","Nicobars","5918","Great Nicobar","645142","1","Anul/Anula","","Rural","Un-Inhabitant","00048300","645142"
"22","603","Nicobars","5918","Great Nicobar","645169","1","Ayouk","","Rural","Un-Inhabitant","00050900","645169"
"23","603","Nicobars","5918","Great Nicobar","645162","1","Bahua","","Rural","Un-Inhabitant","00050300","645162"
"24","603","Nicobars","5918","Great Nicobar","645148","1","Bewai/Kuwak","","Rural","Inhabitant","00048900","645148"
"25","603","Nicobars","5918","Great Nicobar","645200","1","Campbell Bay","","Rural","Inhabitant","00054000","645200"
"26","603","Nicobars","5918","Great Nicobar","645204","1","Chaw Nallaha","","Rural","Un-Inhabitant","00054400","645204"
"27","603","Nicobars","5918","Great Nicobar","645189","1","Chingen (Incl.Fc At Magar Nalla","","Rural","Un-Inhabitant","00052900","645189"
"28","603","Nicobars","5918","Great Nicobar","645167","1","Dairkurat","","Rural","Un-Inhabitant","00050700","645167"
"29","603","Nicobars","5918","Great Nicobar","645184","1","Dakhiyon (Fc)","","Rural","Un-Inhabitant","00052400","645184"
"30","603","Nicobars","5918","Great Nicobar","645179","1","Danlet","","Rural","Un-Inhabitant","00051900","645179"
"31","603","Nicobars","5918","Great Nicobar","645174","1","Dogmar River","","Rural","Un-Inhabitant","00051400","645174"
"32","603","Nicobars","5918","Great Nicobar","645159","1","Elahi/Ilhoya","","Rural","Un-Inhabitant","00050000","645159"
"33","603","Nicobars","5918","Great Nicobar","645190","1","Galathia River (Fc)","","Rural","Un-Inhabitant","00053000","645190"
"34","603","Nicobars","5918","Great Nicobar","645192","1","Gandhi Nagar","","Rural","Inhabitant","00053200","645192"
"35","603","Nicobars","5918","Great Nicobar","645205","1","Gol Tikrey","","Rural","Un-Inhabitant","","645205"
"36","603","Nicobars","5918","Great Nicobar","645199","1","Govinda Nagar","","Rural","Inhabitant","00053900","645199"
"37","603","Nicobars","5918","Great Nicobar","645182","1","Hin-Pou-Chi","","Rural","Un-Inhabitant","00052200","645182"
"38","603","Nicobars","5918","Great Nicobar","645151","1","Hoin Incl. Ikuia","","Rural","Un-Inhabitant","00049200","645151"
"39","603","Nicobars","5918","Great Nicobar","645154","1","Hokesiang","","Rural","Un-Inhabitant","00049500","645154"
"40","603","Nicobars","5918","Great Nicobar","645188","1","Indira Point","","Rural","Un-Inhabitant","00052800","645188"
"41","603","Nicobars","5918","Great Nicobar","645186","1","In-Hig-Loi","","Rural","Un-Inhabitant","00052600","645186"
"42","603","Nicobars","5918","Great Nicobar","645145","1","Inlock/Infock","","Rural","Un-Inhabitant","00048600","645145"
"43","603","Nicobars","5918","Great Nicobar","645157","1","Inlock/Pattia","","Rural","Un-Inhabitant","00049800","645157"
"44","603","Nicobars","5918","Great Nicobar","645160","1","Inod","","Rural","Un-Inhabitant","00050100","645160"
"45","603","Nicobars","5918","Great Nicobar","645195","1","Joginder Nagar","","Rural","Inhabitant","00053500","645195"
"46","603","Nicobars","5918","Great Nicobar","645177","1","Kasintung","","Rural","Un-Inhabitant","00051700","645177"
"47","603","Nicobars","5918","Great Nicobar","645165","1","Katahu","","Rural","Un-Inhabitant","00050600","645165"
"48","603","Nicobars","5918","Great Nicobar","645149","1","Kiyang","","Rural","Un-Inhabitant","00049000","645149"
"49","603","Nicobars","5918","Great Nicobar","645178","1","Koe","","Rural","Un-Inhabitant","00051800","645178"
"50","603","Nicobars","5918","Great Nicobar","645183","1","Kokeon","","Rural","Un-Inhabitant","00052300","645183"
"51","603","Nicobars","5918","Great Nicobar","645163","3","Kondul","","Rural","Un-Inhabitant","00050400","645163"
"52","603","Nicobars","5918","Great Nicobar","645175","1","Kopenheat","","Rural","Un-Inhabitant","00051500","645175"
"53","603","Nicobars","5918","Great Nicobar","645210","1","Lanaya","","Rural","Un-Inhabitant","","645210"
"54","603","Nicobars","5918","Great Nicobar","645207","1","Lawful","","Rural","Un-Inhabitant","00054600","645207"
"55","603","Nicobars","5918","Great Nicobar","645193","1","Laxmi Nagar","","Rural","Inhabitant","00053300","645193"
"56","603","Nicobars","5918","Great Nicobar","645143","1","Makhahu/Makachua","","Rural","Inhabitant","00048400","645143"
"57","603","Nicobars","5918","Great Nicobar","645141","1","Minlana/Minlan","","Rural","Un-Inhabitant","00048200","645141"
"58","603","Nicobars","5918","Great Nicobar","645206","1","Navy Dera","","Rural","Un-Inhabitant","00054500","645206"
"59","603","Nicobars","5918","Great Nicobar","645203","1","Not Yet Named","","Rural","Un-Inhabitant","00054300","645203"
"60","603","Nicobars","5918","Great Nicobar","645202","1","Not Yet Named","","Rural","Un-Inhabitant","00054200","645202"
"61","603","Nicobars","5918","Great Nicobar","645197","1","Not Yet Named (At 27.9 Km)-A","","Rural","Un-Inhabitant","00053700","645197"
"62","603","Nicobars","5918","Great Nicobar","645156","1","Olinchi/Bombay","","Rural","Un-Inhabitant","00049700","645156"
"63","603","Nicobars","5918","Great Nicobar","645181","1","Patatiya","","Rural","Un-Inhabitant","00052100","645181"
"64","603","Nicobars","5918","Great Nicobar","645209","1","Patisang","","Rural","Inhabitant","","645209"
"65","603","Nicobars","5918","Great Nicobar","645155","1","Pattia (Pulopattia)","","Rural","Inhabitant","00049600","645155"
"66","603","Nicobars","5918","Great Nicobar","645152","1","Pea","","Rural","Un-Inhabitant","00049300","645152"
"67","603","Nicobars","5918","Great Nicobar","645161","1","Pehayo","","Rural","Un-Inhabitant","00050200","645161"
"68","603","Nicobars","5918","Great Nicobar","645211","1","Pitayo","","Rural","Un-Inhabitant","","645211"
"69","603","Nicobars","5918","Great Nicobar","645150","1","Pulloullo/Puloulo","","Rural","Inhabitant","00049100","645150"
"70","603","Nicobars","5918","Great Nicobar","645187","1","Pulobaha","","Rural","Un-Inhabitant","00052700","645187"
"71","603","Nicobars","5918","Great Nicobar","645147","1","Pulobaha/Pathathifen","","Rural","Un-Inhabitant","00048800","645147"
"72","603","Nicobars","5918","Great Nicobar","645170","1","Pulobed","","Rural","Un-Inhabitant","00051000","645170"
"73","603","Nicobars","5918","Great Nicobar","645164","1","Pulobed/Lababu","","Rural","Un-Inhabitant","00050500","645164"
"74","603","Nicobars","5918","Great Nicobar","645180","1","Pulobhabi","","Rural","Un-Inhabitant","00052000","645180"
"75","603","Nicobars","5918","Great Nicobar","645153","1","Pulobha/Pulobahan","","Rural","Inhabitant","00049400","645153"
"76","603","Nicobars","5918","Great Nicobar","645171","1","Pulokunji","","Rural","Un-Inhabitant","00051100","645171"
"77","603","Nicobars","5918","Great Nicobar","645140","1","Pulomilo","","Rural","Inhabitant","00048100","645140"
"78","603","Nicobars","5918","Great Nicobar","645158","1","Pulopanja","","Rural","Inhabitant","00049900","645158"
